MRN,SSN,First_Name,Last_Name,Age,Gender,Policy_Number,Policy_Type,Premium_Amount,Coverage_Start_Date,Coverage_End_Date,Medical_Specialty,Provider_Name,Hospital_Name,City,State,Zip_Code,Claim_History,Chronic_Condition,Contact_Number
458578,361-98-7607,Kristen,Smith,77,Other,POL1823501,POS,1492.92,2024-02-19,2026-02-21,Oncology,"Fry, Thomas and Floyd","Jones, Hanson and Peterson Hospital",West Carrie,CA,78733,High,No,091-220-0751x1276
995484,098-91-4334,Kellie,Berger,31,Other,POL0967825,EPO,810.93,2024-01-21,2026-10-23,Pediatrics,"Ho, Graham and Hunter",Brown PLC Hospital,Chrischester,GA,46278,High,No,534.864.0391x28782
917301,752-90-8134,Bryce,Harris,26,Female,POL4452882,PPO,563.43,2023-06-08,2026-01-03,Neurology,Roberts-Black,Burton Group Hospital,Ryanburgh,NJ,76275,Medium,Yes,163-690-0153x6787
667992,283-99-5104,Ryan,Marshall,70,Female,POL5870105,EPO,1348.54,2024-08-28,2027-09-28,Orthopedics,Garcia Group,Taylor-White Hospital,Lake Shirleyton,MI,46248,Low,Yes,+1-706-324-8191
934140,037-43-8038,Annette,Floyd,19,Female,POL5341036,EPO,1172.03,2025-08-11,2027-01-14,Cardiology,Vargas-Robles,Mills Ltd Hospital,New Michaelville,VT,92423,Low,No,534-811-2427x924
215665,847-25-3879,Kayla,Mercado,77,Male,POL9605597,EPO,1438.99,2024-01-22,2026-11-09,Neurology,Taylor-Rodriguez,"Garcia, Jimenez and Nelson Hospital",East Robertstad,ND,93555,High,Yes,085-837-3779x571
458262,188-18-8113,Allen,Lee,88,Female,POL4911362,POS,629.98,2021-10-09,2026-12-25,Orthopedics,"Warner, Williams and Harrington",White PLC Hospital,Weaverbury,NM,84718,Low,Yes,(822)555-2887x898
510882,574-17-6852,Karen,Sanchez,61,Male,POL3680666,POS,918.59,2021-06-17,2026-11-05,Dermatology,Smith-Reid,Marshall Ltd Hospital,Tatemouth,UT,24792,High,Yes,271.486.3694
926576,714-76-8846,Jeremiah,Martinez,25,Male,POL4278411,EPO,943.98,2023-09-24,2026-06-16,Neurology,"Clark, Campbell and Best",Larsen-Shaw Hospital,South Gregory,WI,26848,Low,No,(096)060-0327x3748
154557,813-94-3859,Stacey,Floyd,64,Female,POL2760963,POS,1474.43,2024-09-28,2027-09-11,Cardiology,"Joseph, Leach and Johnson",Ramirez Ltd Hospital,Port Julie,AR,26310,High,No,046-771-4796x78886
687836,194-50-3131,Amy,Parsons,52,Female,POL0644364,HMO,297.95,2023-03-01,2026-04-21,Orthopedics,"Holmes, Willis and Jones","Foster, Mcguire and Rogers Hospital",Lake Rebeccastad,CA,66071,Low,No,(015)780-4833x6840
546274,286-78-4731,James,Bowers,53,Female,POL8786695,HMO,597.41,2025-07-08,2027-03-03,Orthopedics,"James, Patterson and Moreno",Mclaughlin-Rogers Hospital,Conradshire,MO,97054,Medium,No,192.167.9790x0255
288971,561-34-9982,James,Estrada,67,Other,POL6785538,POS,448.18,2021-06-24,2025-10-25,Orthopedics,Martin Inc,"Owens, Clay and Donaldson Hospital",Phillipsburgh,IA,39519,Low,No,118-137-7952x4449
685804,720-23-9121,Paul,Perry,21,Female,POL1147409,POS,549.02,2022-06-05,2027-01-19,Dermatology,Nelson PLC,"Smith, Williams and Kim Hospital",Pattersontown,FL,11841,Low,No,+1-684-407-0200x262
423166,419-48-0093,Anthony,Carter,19,Other,POL1805459,EPO,830.86,2023-07-31,2026-06-08,Neurology,Alvarez PLC,Evans PLC Hospital,Juanland,NC,52879,Medium,No,001-223-673-9031
385638,676-29-1953,Vicki,White,23,Male,POL8481483,PPO,684.49,2021-12-16,2026-01-09,Dermatology,Maxwell Inc,Brown-Lam Hospital,West Peterville,MS,17157,Low,Yes,625-584-8067
964001,419-77-1629,Hannah,Lane,71,Other,POL7740162,POS,713.1,2022-06-17,2026-02-25,Oncology,"Montoya, Cole and Rodriguez","Williams, Smith and Blackwell Hospital",Lake Jamesburgh,LA,54297,Medium,Yes,(878)190-1687x777
724183,217-87-0388,Derrick,Bowman,21,Female,POL4759429,HMO,1297.48,2023-01-08,2026-11-14,Oncology,"Ross, Warner and Adams","Simmons, Johnson and Sampson Hospital",Cookburgh,NH,92651,Low,Yes,+1-981-752-3938
425115,576-58-0082,Ronald,Dennis,71,Male,POL6637168,EPO,1409.02,2021-09-15,2027-03-27,Neurology,Davis Ltd,White-Green Hospital,Smithberg,CT,59495,High,Yes,(329)816-3945x11740
822986,340-29-7152,Megan,Johnson,80,Male,POL5776976,POS,291.54,2021-04-28,2026-12-14,Dermatology,Mccoy Inc,Anderson Group Hospital,West Davidchester,WV,06429,High,Yes,778.340.4151
806835,503-21-3977,Stephen,Sellers,35,Male,POL3828554,HMO,471.59,2021-04-18,2026-06-29,Cardiology,"Fischer, Taylor and Abbott",Davis Inc Hospital,West Thomas,FL,81360,Low,Yes,7209546335
169332,855-35-6961,Mariah,Smith,61,Other,POL7756128,HMO,1072.49,2025-07-23,2025-12-03,Orthopedics,"Parker, Smith and Terry",Cox Ltd Hospital,East Victoriashire,VT,59777,Low,Yes,272.493.6924x3912
267626,621-37-8528,Kara,Schultz,51,Female,POL8461933,PPO,666.24,2021-01-22,2026-05-09,Orthopedics,Martin Ltd,"Jenkins, Fletcher and Weber Hospital",New Joanna,GA,92110,Low,No,+1-493-606-0027x492
329811,831-16-1067,Kimberly,Rich,79,Male,POL9635146,EPO,530.41,2022-08-23,2027-06-12,Neurology,"Alexander, Fisher and Wright","Collins, Hill and Fields Hospital",Lake Patricia,NV,59754,High,No,001-351-990-3672x89572
661027,756-46-4827,Lance,Nelson,31,Male,POL7899923,EPO,583.88,2021-06-06,2027-10-02,Oncology,"Hubbard, Wood and Moses",Page-Miller Hospital,Contrerasstad,WI,52685,Low,Yes,3579800293
155077,743-97-1000,Paige,Chambers,65,Male,POL5828356,PPO,619.32,2021-02-04,2026-02-12,Oncology,Allen-Stephenson,Long-Wilkinson Hospital,Gilmoreview,OR,82039,High,Yes,001-341-885-4842
790623,608-40-0142,Whitney,Barton,32,Other,POL5936875,PPO,1303.27,2021-05-05,2026-06-27,Orthopedics,"Berry, Caldwell and Williams","White, Gibson and Montgomery Hospital",South Sergio,RI,20205,Medium,No,139.608.6957
687412,185-28-4338,Miranda,Watson,89,Other,POL9860220,EPO,377.61,2024-11-25,2027-04-14,Neurology,Romero-Stanley,"Williams, Stout and Lawrence Hospital",East Annachester,MN,11433,High,Yes,701.167.6006x296
918847,464-80-9110,Seth,Johnson,79,Female,POL3857122,EPO,1121.58,2024-07-20,2026-12-16,Dermatology,"Steele, Thomas and Schwartz",Woodard Group Hospital,Port Jamesberg,KY,08609,High,Yes,+1-361-732-5599x58887
106594,755-54-5464,Julie,Stephens,57,Other,POL0980733,POS,918.67,2021-07-09,2026-08-31,Oncology,"Nunez, Robertson and Brandt","Clark, Brown and Long Hospital",New Ariel,OH,17496,Medium,No,001-990-345-9556x42686
718064,342-83-9763,Katelyn,Flores,70,Male,POL6307221,POS,585.46,2025-08-06,2026-01-06,Dermatology,Harris Ltd,Knapp-Morgan Hospital,West Geraldmouth,UT,03435,High,Yes,0489990433
967346,011-19-0829,Karen,Moreno,41,Female,POL5360143,PPO,745.72,2021-09-27,2026-10-27,Oncology,Anderson-Gardner,"Hill, May and Little Hospital",New Christopher,NM,88705,Low,No,001-493-922-2165
423040,501-32-4312,Stacey,Phillips,43,Male,POL5903762,POS,533.07,2025-09-20,2026-07-04,Oncology,"Hunter, Davis and Gill",Farmer-Howell Hospital,Michaelfort,NV,45494,Low,Yes,339.419.3101
888222,198-13-7242,Hannah,Scott,77,Male,POL0997758,HMO,994.97,2024-02-10,2026-03-18,Pediatrics,Little-Horn,Vega-Garcia Hospital,Port Jackton,ID,65202,High,No,431-810-0880x46724
743466,384-83-5729,Kim,Daniel,58,Other,POL2867497,POS,306.07,2020-12-10,2026-03-03,Oncology,Barker LLC,"Gilbert, Zimmerman and Vaughn Hospital",New Kathyburgh,MI,43907,Low,No,(241)235-8832
959616,511-31-9495,Jonathan,Huber,46,Female,POL7719105,POS,206.74,2021-12-12,2027-02-09,Cardiology,Charles LLC,Espinoza Group Hospital,South Douglas,MD,96422,High,No,(198)661-7895
251676,016-87-5999,Jonathan,Thomas,32,Other,POL1867467,HMO,1016.26,2021-10-27,2027-04-03,Neurology,"Martinez, Harris and Gutierrez","Parker, Griffin and Jackson Hospital",Woodsstad,IL,13374,Low,Yes,001-267-779-9527
818795,497-43-2160,Kimberly,Alexander,62,Other,POL5490867,PPO,452.56,2023-11-30,2027-04-26,Neurology,Jenkins-Chapman,"Barker, Murray and Sweeney Hospital",South Kayla,ME,71376,Low,No,165.299.9950x8204
609648,848-04-2766,Robert,Jefferson,82,Female,POL9184692,HMO,292.22,2023-09-12,2027-09-25,Dermatology,"Hicks, Nguyen and Meza","Martin, Morgan and Potts Hospital",North Richard,AL,29686,High,Yes,+1-178-472-1402x90984
521591,726-77-4555,Candice,Howe,88,Male,POL9072836,POS,715.82,2023-02-11,2027-03-21,Oncology,Sherman-Cummings,"Mcneil, Wise and Wood Hospital",Moorestad,NY,80707,Low,Yes,507.339.3462x3574
762794,130-37-6408,Sean,Bridges,26,Male,POL4840565,PPO,266.0,2023-12-09,2026-07-07,Cardiology,Erickson Inc,Johnston Ltd Hospital,Brendaport,NY,13914,High,Yes,(594)296-1488x9682
852763,259-56-4481,Travis,Pierce,18,Female,POL9726211,POS,1352.6,2021-09-23,2026-09-11,Dermatology,Mendez and Sons,Love-Zamora Hospital,Jessicaburgh,IL,22295,Low,Yes,3108518969
274644,228-39-7263,Kaitlin,Sanchez,25,Male,POL7387484,HMO,235.9,2023-12-03,2026-03-25,Pediatrics,Ashley-Hopkins,Morgan Ltd Hospital,Port Jenniferfurt,GA,94981,Low,No,001-156-018-5745x792
617487,720-92-3382,Brooke,Johnson,80,Female,POL0410573,HMO,952.52,2024-05-10,2027-05-30,Dermatology,Hanson-Owens,Brown-Davis Hospital,Drakeville,ID,18013,Medium,No,(521)530-4365
567502,632-49-3913,Walter,Keller,28,Female,POL6306925,POS,770.02,2024-10-18,2027-06-24,Dermatology,"Davidson, Garcia and Hunt",Silva Ltd Hospital,South Sarah,CT,29778,Medium,Yes,451.086.6597
602440,316-74-6412,Stacy,Rice,25,Other,POL5192445,EPO,1073.63,2025-08-04,2026-04-27,Oncology,Wu LLC,"Williams, Shah and Christian Hospital",North Valeriehaven,NE,16824,High,Yes,+1-011-878-4256x51605
369667,239-91-2677,Christy,Lucas,52,Female,POL8883480,EPO,626.6,2023-06-14,2026-09-09,Pediatrics,Ross Group,Wilson Group Hospital,Lake Elizabethchester,VA,11204,Medium,No,542-367-8985
715604,146-21-0639,Diana,Walters,52,Other,POL5804451,HMO,401.55,2023-06-15,2026-09-28,Dermatology,Williams PLC,Stokes-Lloyd Hospital,North Monicastad,DC,07152,High,Yes,001-684-452-9156x3269
514747,228-14-1247,Mackenzie,Hunter,50,Male,POL3658013,HMO,1476.39,2024-12-13,2026-04-21,Cardiology,Pugh LLC,Perez PLC Hospital,Tinamouth,AK,91590,Medium,No,+1-984-101-5896x03223
236218,337-79-0140,Robert,Weber,22,Male,POL9708140,EPO,1290.61,2024-04-14,2026-06-02,Cardiology,Nash Group,"Brooks, Walters and Moss Hospital",South Tinastad,WA,27541,Low,Yes,001-597-073-7783x10913
405551,259-04-4727,Heather,Pope,58,Male,POL0143859,EPO,1318.53,2022-11-08,2027-07-01,Neurology,Thomas-Hall,"Hanna, Jackson and Williams Hospital",South Aliciaport,NH,64327,High,Yes,(789)496-8324x566
334178,773-62-2078,Anthony,Thomas,45,Male,POL2923221,POS,525.33,2021-11-14,2027-07-16,Pediatrics,"Lutz, Lee and Johnson",Guzman-Miller Hospital,Nicholashaven,WY,28004,High,No,6246390927
238252,450-18-7836,Alex,Brown,24,Other,POL6161264,POS,250.49,2021-09-05,2026-04-27,Pediatrics,"Harris, Silva and Elliott",Wilson-Dillon Hospital,Randallstad,VT,77645,Low,Yes,435-477-2223x02421
247330,408-72-4834,Brenda,Smith,89,Male,POL1978101,EPO,594.25,2025-05-09,2025-11-08,Neurology,Edwards-Stewart,Lewis LLC Hospital,New Deborahhaven,MO,58762,High,No,1579027678
559430,357-60-2200,Tracy,Palmer,29,Female,POL4065649,POS,898.21,2024-03-27,2026-04-25,Dermatology,"Hamilton, Merritt and Hopkins",Christensen and Sons Hospital,South Nicoleton,WI,67441,High,Yes,518.942.3354x28253
417909,899-16-0534,Savannah,Gray,51,Female,POL5432651,POS,624.65,2025-07-16,2027-07-06,Pediatrics,Marks and Sons,"Smith, Baldwin and Gilbert Hospital",Huffmanburgh,WI,57603,Medium,Yes,001-053-849-9359
740989,679-61-7441,Eric,Williams,50,Female,POL5358760,PPO,1276.23,2024-02-13,2026-08-16,Cardiology,"Martinez, Williams and Kaiser",Robbins Inc Hospital,New Kimberlyside,VA,01366,High,Yes,(219)258-9920
904920,254-79-0172,Autumn,Simmons,65,Other,POL8326471,POS,553.01,2024-06-15,2025-12-29,Cardiology,Knight LLC,Martinez and Sons Hospital,South Audreystad,WV,45685,Low,No,594-568-6861x086
525695,502-62-6033,Michael,Fischer,40,Male,POL6904119,HMO,1454.83,2022-04-27,2026-06-08,Oncology,Oliver LLC,Perez-Martin Hospital,North Jessicaton,VT,89504,Medium,Yes,739-928-9832x92393
469396,856-74-8304,Anthony,Burton,79,Male,POL5434436,POS,794.44,2022-08-28,2027-05-04,Pediatrics,Curtis Ltd,"Glenn, White and Lopez Hospital",Judybury,SD,08186,Medium,Yes,354.849.3624x9100
551560,886-81-1587,Jorge,Garcia,54,Male,POL0307284,POS,1294.63,2020-11-05,2027-05-16,Dermatology,"Reyes, Le and Richardson",Davies-Hamilton Hospital,Cummingston,MI,19644,Low,Yes,3778182404
613633,216-19-6674,Krystal,Moran,61,Other,POL6271824,EPO,452.69,2025-05-09,2025-11-28,Neurology,Hardy-Cooley,Cummings-Miles Hospital,West Daniel,OK,56286,Low,Yes,(358)836-2535x30387
